id,name,email,category,zone_id,description,active,created_at,updated_at
1,"Segreteria di Presidenza",segreteria@federgolf.it,federazione,NULL,"Segreteria di Presidenza, Affari Generali, Cerimoniale, Organi Collegiali",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
2,"Settore Tecnico",campionati@federgolf.it,federazione,NULL,"Settore Tecnico della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
3,"Comitato Regole e Campionati",crc@federgolf.it,comitati,NULL,"Comitato Regole e Campionati della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
4,"Comitato Regionale PIEMONTE",crpiemonte@federgolf.it,comitati,NULL,"Comitato Regionale PIEMONTE della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
5,"Comitato Regionale LOMBARDIA",info@federgolflombardia.it,comitati,NULL,"Comitato Regionale LOMBARDIA della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
6,"Comitato Regionale VENETO",crveneto@federgolf.it,comitati,NULL,"Comitato Regionale VENETO della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
7,"Comitato Regionale EMILIA ROMAGNA",cremiliaromagna@federgolf.it,comitati,NULL,"Comitato Regionale EMILIA ROMAGNA della Federazione Italiana Golf",1,"2025-07-03 14:15:31","2025-07-03 14:15:31"
8,"Comitato Regionale LAZIO",crlazio@federgolf.it,comitati,NULL,"Comitato Regionale LAZIO della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
9,"Comitato Regionale TOSCANA",crtoscana@federgolf.it,comitati,NULL,"Comitato Regionale TOSCANA della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
10,"Coordinamento SZR1",szr1@federgolf.it,zone,NULL,"Coordinamento Zona Piemonte, Liguria e Valle d'Aosta della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
11,"Coordinamento SZR2",szr2@federgolf.it,zone,NULL,"Coordinamento Zona Lombardia della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
12,"Coordinamento SZR3",szr3@federgolf.it,zone,NULL,"Coordinamento Zona Friuli Venezia Giulia, Veneto e Trentino Alto Adige della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
13,"Coordinamento SZR4",szr4@federgolf.it,zone,NULL,"Coordinamento Zona Emilia Romagna e Marche della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
14,"Coordinamento SZR5",szr5@federgolf.it,zone,NULL,"Coordinamento Zona Toscana e Umbria della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
15,"Coordinamento SZR6",szr6@federgolf.it,zone,NULL,"Coordinamento Zona Lazio, Abruzzo e Molise, Sardegna della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
16,"Coordinamento SZR7",szr7@federgolf.it,zone,NULL,"Coordinamento Zona Campania, Puglia, Basilicata, Calabria e Sicilia della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
17,"Ufficio Marketing e Comunicazione",marketing@federgolf.it,altro,NULL,"Ufficio Marketing e Comunicazione della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
18,"Ufficio Stampa",stampa@federgolf.it,altro,NULL,"Ufficio Stampa, Media, Sito Web e Social Network della Federazione Italiana Golf",1,"2025-07-03 14:15:32","2025-07-03 14:15:32"
